task_id,verdict,passing_round,passing_model,passing_k,passing_predicted,gold_corrected,gold_original,spec_rewrite_count,doctor_verdict,doctor_reasoning,difficulty_level,difficulty_confidence,difficulty_reasoning,difficulty_signal,empirical_easy,total_cost_usd,phase_b_cost_usd,doctor_cost_usd,probe_cost_usd,categorize_cost_usd,total_trials,prompt_tokens,completion_tokens,cached_tokens,run_id,ts_updated
0044/873/44873237.ipynb_qa_3,verifiable_judge,,,,(cross-model consensus),False,,0,verifiable_judge,"The gold answer 95.7% is correct (nano probe confirmed 95.696%), and the dataset is valid; the Phase B trials failed with empty trajectories suggesting infrastructure/agent issues rather than a spec problem.",0,0.0,,,,0.010173,0.0,0.008609,0.001564,0.0,2,0,0,0,20260514T191828Z,2026-05-14T19:19:44.510623+00:00
0049/683/49683426.ipynb_qa_4,dropped,,,,,False,,0,unverifiable,"The question asks about ""age groups"" without specifying bins, and the gold answer ""81 - 115"" depends on a specific binning scheme from the original notebook that agents cannot infer; all three probes (19-30, 101+, 90+) used different valid bins and none matched the gold.",0,0.0,,,,0.170399,0.147876,0.01961,0.002913,0.0,2,39352,1988,0,20260514T191828Z,2026-05-14T19:20:55.160427+00:00
0052/633/52633741.ipynb_qa_5,dropped,,,,,False,,0,unverifiable,"KMeans cluster labels are arbitrary and non-deterministic — both trials consistently find ""Cluster 0"" has the highest median Sp. Atk (100.0), while the gold says ""Cluster 1"", reflecting a different random seed/run from the original notebook; there is no way to fix this without knowing the exact original clustering parameters.",0,0.0,,,,0.170601,0.154116,0.013336,0.003149,0.0,2,39752,2324,0,20260514T191828Z,2026-05-14T19:21:04.315843+00:00
0059/575/59575558.ipynb_qa_3,verified,B,anthropic/claude-sonnet-4-6,1.0,25,False,,0,,,1,0.99,"Single column lookup using nunique() with no transformation, filtering, or joining required.",Single .nunique() call on one column,,0.029643,0.026058,0.0,0.0,0.003585,1,7361,265,0,20260514T191828Z,2026-05-14T19:19:11.201960+00:00
0064/496/64496303.ipynb_qa_3,verified,B,anthropic/claude-sonnet-4-6,1.0,12,False,,0,,,1,0.95,"The question asks for a single well-known parameter (seasonal period for monthly data = 12) that requires no computation, just domain knowledge confirmed by a quick data inspection.","The agent answered immediately from domain knowledge after a single header inspection, writing '12' directly without any modeling code.",,0.033282,0.029118,0.0,0.0,0.004164,1,7751,391,0,20260514T191828Z,2026-05-14T19:19:18.169337+00:00
0066/039/66039698.ipynb_qa_5,verified,B,anthropic/claude-sonnet-4-6,1.0,Lab Retriever,False,,0,,,2,0.85,"The task requires filtering a single CSV for three specific breed names and comparing their counts, which is a simple filter-and-aggregation with minor string matching complexity.","Single file, filter by breed names, value_counts comparison — no joins, groupby, or multi-step transformation needed.",,0.073653,0.06822,0.0,0.0,0.005433,1,18495,849,0,20260514T191828Z,2026-05-14T19:19:27.494775+00:00
0084/727/84727795.ipynb_qa_4,verified,B,anthropic/claude-sonnet-4-6,2.0,283.0,False,,0,,,1,0.99,"Simple max-min aggregation on a single column with no filtering, grouping, or transformation.",Two trivial aggregations (max and min) on one column.,,0.030225,0.026325,0.0,0.0,0.0039,2,7290,297,0,20260514T191828Z,2026-05-14T19:19:38.497074+00:00
0092/230/92230262.ipynb_qa_3,dropped,,,,,False,,0,unverifiable,"The question refers to ""the model"" without specifying which model type, hyperparameters, or train/test split to use; different models yield different TPR values (nano got 0.9557 vs gold 0.81458), and both Phase B trials produced empty trajectories, indicating agents cannot reliably reproduce the specific notebook's model.",0,0.0,,,,0.030977,0.0,0.018191,0.012786,0.0,2,0,0,0,20260514T191828Z,2026-05-14T19:21:01.543522+00:00
0098/690/98690564.ipynb_qa_1,verified,B,anthropic/claude-sonnet-4-6,1.0,274,False,,0,,,3,0.85,"Requires encoding a categorical column to numeric, computing IQR statistics, and applying outlier detection logic — a multi-step transformation beyond simple aggregation.","The trajectory shows encoding, quantile computation, and IQR-based filtering across ~3-4 meaningful steps.",,0.060987,0.055722,0.0,0.0,0.005265,1,14149,885,0,20260514T191828Z,2026-05-14T19:19:38.659817+00:00
0126/994/126994091.ipynb_qa_5,verified,B,anthropic/claude-sonnet-4-6,1.0,6.57,False,,0,,,1,0.98,"Single column quantile computation with no filtering, joining, or transformation.",Only one meaningful operation: df['area'].quantile(0.75),,0.033351,0.029343,0.0,0.0,0.004008,1,7816,393,0,20260514T191828Z,2026-05-14T19:19:12.592647+00:00
