task_id,verdict,passing_round,passing_model,passing_k,passing_predicted,gold_corrected,gold_original,spec_rewrite_count,doctor_verdict,doctor_reasoning,difficulty_level,difficulty_confidence,difficulty_reasoning,difficulty_signal,empirical_easy,total_cost_usd,phase_b_cost_usd,doctor_cost_usd,probe_cost_usd,categorize_cost_usd,total_trials,prompt_tokens,completion_tokens,cached_tokens,run_id,ts_updated
0052/633/52633741.ipynb_qa_5,dropped,,,,,False,,0,unverifiable,"KMeans cluster labels are non-deterministic — the agent consistently gets ""Cluster 0"" as the highest Sp. Atk cluster with random_state=42, while the gold says ""Cluster 1""; both are valid depending on the random seed, making this question unverifiable without specifying the exact clustering parameters.",0,0.0,,,,0.169926,0.132105,0.033603,0.004218,0.0,2,34285,1950,0,20260514T185622Z,2026-05-14T18:59:27.028442+00:00
0059/575/59575558.ipynb_qa_3,verified,B,anthropic/claude-sonnet-4-6,1.0,25,False,,0,,,1,0.99,"Simple single-column nunique() lookup with no transformation, filtering, or joining.",df['Neighborhood'].nunique() is a trivial single aggregation,,0.040041,0.036219,0.0,0.0,0.003822,1,10063,402,0,20260514T185622Z,2026-05-14T18:57:14.120503+00:00
0064/496/64496303.ipynb_qa_3,verified,B,anthropic/claude-sonnet-4-6,1.0,12,False,,0,,,2,0.8,"The task requires loading a dataset, inferring its temporal frequency, and applying domain knowledge that monthly data uses m=12 in SARIMA — a simple 2-3 step operation.","Only 3 meaningful tool calls needed: inspect data, check frequency, write answer.",,0.047583,0.042951,0.0,0.0,0.004632,1,11152,633,0,20260514T185622Z,2026-05-14T18:57:41.315480+00:00
0066/039/66039698.ipynb_qa_5,verified,B,anthropic/claude-sonnet-4-6,1.0,Lab Retriever,False,,0,,,2,0.9,"The task requires loading a CSV, filtering for specific breed names with string matching, and comparing counts — a simple filter-and-aggregation with minor string normalization.","Single file, value_counts with string filtering across 3 breeds, no joins or complex transformations.",,0.073026,0.068013,0.0,0.0,0.005013,1,18466,841,0,20260514T185622Z,2026-05-14T18:57:15.553542+00:00
0076/145/76145976.ipynb_qa_2,dropped,,,,,False,,0,unverifiable,"The question asks about ""visual analysis"" from a specific notebook, but quantitative analysis consistently shows CRIM (not gold TAX) has the most skewness improvement; three models give three different answers (TAX, CRIM, X13), indicating this subjective visual interpretation cannot be reliably reproduced from the data alone.",0,0.0,,,,0.300086,0.270039,0.023385,0.006662,0.0,2,68913,4220,0,20260514T185622Z,2026-05-14T18:59:36.786083+00:00
0084/727/84727795.ipynb_qa_4,verified,B,anthropic/claude-sonnet-4-6,2.0,283.0,False,,0,,,1,0.99,Single column max-min difference is a trivial aggregation requiring one line of code.,max() - min() on a single column,,0.032439,0.028599,0.0,0.0,0.00384,2,7723,362,0,20260514T185622Z,2026-05-14T18:57:23.716547+00:00
0092/230/92230262.ipynb_qa_3,dropped,,,,,False,,0,unverifiable,"The question refers to ""the model"" from a specific notebook without specifying model type or parameters; all independent agents (Sonnet ~0.936, nano ~0.952, deepseek ~0.933) consistently get ~0.93-0.95 using Logistic Regression, while the gold 0.81458 appears to come from a different model (e.g., Decision Tree with specific settings) that cannot be reproduced without the original notebook context.",0,0.0,,,,0.281789,0.177939,0.054853,0.048997,0.0,2,45408,2781,0,20260514T185622Z,2026-05-14T19:05:22.004743+00:00
0098/690/98690564.ipynb_qa_1,verified,B,anthropic/claude-sonnet-4-6,2.0,274,False,,0,,,3,0.8,"The task requires encoding a categorical column numerically, computing IQR statistics, and applying outlier detection logic — a multi-step transformation beyond simple aggregation.","The trajectory shows encoding, quantile computation, and bound calculation across multiple steps, fitting a moderate complexity level.",,0.062841,0.057492,0.0,0.0,0.005349,2,14359,961,0,20260514T185622Z,2026-05-14T18:57:37.058228+00:00
0104/985/104985612.ipynb_qa_4,verified,B,anthropic/claude-sonnet-4-6,1.0,ocean_proximity,False,,0,,,4,0.85,"The task requires building a linear regression model with statsmodels OLS, handling categorical encoding (label encoding vs one-hot), and interpreting p-values to identify non-significant predictors — a multi-step statistical inference workflow.","Multiple tool calls involving statsmodels OLS, categorical encoding strategies, and p-value interpretation across 8+ cells.",,0.239994,0.230868,0.0,0.0,0.009126,1,62086,2974,0,20260514T185622Z,2026-05-14T18:58:05.471293+00:00
0108/808/108808607.ipynb_qa_4,verified,B,anthropic/claude-sonnet-4-6,1.0,0.7886178861788617,False,,0,,,4,0.85,"This task requires multi-step data preprocessing (missing value imputation, label encoding), train/test split, and hyperparameter tuning with GridSearchCV on a Random Forest model, which constitutes a basic ML pipeline with feature engineering.",GridSearchCV for hyperparameter tuning combined with preprocessing steps across multiple cells indicates a Level 4 complexity.,,0.084871,0.0793,0.0,0.0,0.005571,1,19018,1480,0,20260514T185622Z,2026-05-14T18:58:34.354343+00:00
0126/994/126994091.ipynb_qa_5,verified,B,anthropic/claude-sonnet-4-6,1.0,6.57,False,,0,,,1,0.97,"Single column quantile computation with no filtering, joining, or transformation.",df['area'].quantile(0.75) is a single aggregation on one column,,0.042579,0.038529,0.0,0.0,0.00405,1,10718,425,0,20260514T185622Z,2026-05-14T18:57:12.420476+00:00
0127/273/127273158.ipynb_qa_1,verified_gold_corrected,B2,anthropic/claude-sonnet-4-6,1.0,31.17,True,54.65,1,gold_corrected,"Three independent models (Sonnet x2, nano) all consistently compute MAE ≈ 31.17 using default Prophet settings on the AirPassengers test set (last 24 months), while the gold answer of 54.65 is not reproducible with any standard Prophet configuration; the gold was corrected to 31.17 with ATOL=1.0.",4,0.9,"This task requires installing Prophet, preparing time-series data, fitting a forecasting model, making predictions on a test split, and computing MAE — a multi-step ML pipeline with a time-series forecasting library.","Prophet model training, time-series train/test split, and MAE computation across multiple meaningful code cells.",,0.26281,0.20271,0.031501,0.023373,0.005226,3,51585,3197,0,20260514T185622Z,2026-05-14T19:03:11.222213+00:00
